"Data","Temp. Ins. (C)","Temp. Max. (C)","Temp. Min. (C)","Umi. Ins. (%)","Umi. Max. (%)","Umi. Min. (%)","Pto Orvalho Ins. (C)","Pto Orvalho Max. (C)","Pto Orvalho Min. (C)","Pressao Ins. (hPa)","Pressao Max. (hPa)","Pressao Min. (hPa)","Vel. Vento (m/s)","Dir. Vento (m/s)","Raj. Vento (m/s)","Radiacao (KJ/m2)","Chuva (mm)","p_rt1","p_inc100k","Nivel","Rt","Receptivo (Bool)","Nivel Inc.","Casos"
"2013-04-30",20.39,20.95,19.85,74.06,76.59,71.58,15.27,15.76,14.82,1010.5,1010.73,1010.26,1.38,164.6,4.37,1215.08,106.8,0.1,4.38,4,0.69,0.25,2,261
"2013-05-31",16.57,17.09,16.09,78.58,80.81,76.33,12.51,12.94,12.13,1010.93,1011.2,1010.65,1.09,188.09,3.57,877.01,64.8,0.01,1.5,2.5,0.52,0,1.25,89
"2013-06-30",14.53,14.96,14.14,84.58,86.2,82.8,11.81,12.16,11.49,1012.13,1012.4,1011.86,1.08,182.97,3.63,662.88,103.6,0.18,0.56,1,0.65,0.2,0.8,42
"2013-07-31",13.63,14.17,13.12,78.78,81.01,76.46,9.72,10.16,9.31,1014.79,1015.06,1014.52,1.06,175.52,3.49,882.09,108.6,0.25,0.08,1,2,0,0,5
"2013-08-31",13.68,14.19,13.19,79.92,82.05,77.7,9.89,10.33,9.48,1013.95,1014.29,1013.63,1.48,165.27,4.84,902.14,248.8,0.46,0.2,1,1.32,0,0,12
"2013-09-30",17.48,18.01,16.98,76.97,79.2,74.66,12.9,13.37,12.49,1011.28,1011.61,1010.96,1.45,162.83,4.69,1036.58,137,0.55,0.3,1,1.23,0,0.2,22
"2013-10-31",19.11,19.65,18.59,75.04,77.65,72.46,14.16,14.68,13.68,1010.25,1010.54,1009.95,1.64,145.43,5.17,1408.77,131.6,0.31,0.15,1,0.67,0,0,9
"2013-11-30",22.27,22.87,21.71,69.93,72.76,67.05,16.04,16.65,15.5,1007.11,1007.41,1006.81,1.78,145.58,5.66,1656.53,184,0.69,0.32,1.25,1.85,0.75,0.25,19
"2013-12-31",24.66,25.31,24.07,70.24,73.04,67.23,18.45,19.01,17.9,1004.71,1004.98,1004.45,1.77,149.26,5.43,1697.74,79.4,0.47,0.62,2.4,1.17,1,0.8,46
"2014-01-31",26.49,27.16,25.88,70.06,73.02,66.98,19.98,20.59,19.41,1006.27,1006.53,1006,1.43,169.4,4.71,1504.55,75.6,0.68,0.96,2,1.43,1,1,57
"2014-02-28",26.28,26.92,25.69,71.79,74.58,68.9,20.27,20.84,19.73,1007.02,1007.3,1006.73,1.61,169.61,5.42,1569.29,149.4,0.31,0.62,2,0.76,1,0.75,37
"2014-03-31",23.02,23.55,22.5,76.54,79,74.04,18.4,18.87,17.98,1008.03,1008.28,1007.78,1.4,163.52,4.56,1302.99,129.8,0.53,0.56,1.6,1.06,0.8,1,42
"2014-04-30",21.03,21.52,20.57,76.14,78.46,73.81,16.39,16.82,16.01,1011.12,1011.37,1010.89,1.36,146.13,4.5,1139.61,86.6,0.53,0.57,1,1.15,0.25,0.75,34
"2014-05-31",16.79,17.2,16.4,82.13,84.03,80.16,13.52,13.86,13.22,1011.8,1012.06,1011.53,1,167.65,3.47,844.97,80.6,0.26,0.37,1,0.69,0,0.25,22
"2014-06-30",15.27,15.63,14.92,85.58,87.06,84.01,12.66,12.96,12.39,1011.92,1012.19,1011.64,1.16,167.47,4.04,640.51,232,0.28,0.16,1,0.61,0,0,12
"2014-07-31",15.46,15.88,15.02,81.63,83.66,79.55,12.06,12.42,11.73,1015.19,1015.48,1014.91,1.15,154.14,3.95,861.05,259.6,0.66,0.25,1,1.8,0,0,15
"2014-08-31",15.94,16.46,15.43,76.74,79.27,74.19,11.37,11.85,10.94,1012.97,1013.25,1012.69,1.16,164.26,3.94,1042.69,132.4,0.36,0.22,1,0.78,0,0.2,16
"2014-09-30",18.48,18.92,18.05,80.05,82.11,77.86,14.69,15.07,14.35,1009.75,1010.1,1009.41,1.42,150.07,4.97,1047.37,163.8,0.51,0.15,1,1.05,0,0,9
"2014-10-31",20.92,21.43,20.44,76.28,78.75,73.67,16.19,16.68,15.75,1010.07,1010.45,1009.7,1.43,141.2,4.99,1301.33,187.2,0.64,0.27,1,1.44,0.5,0.25,16
"2014-11-30",22.9,23.45,22.36,72.52,75.3,69.73,17.14,17.74,16.57,1007.26,1007.53,1006.99,1.34,151.12,4.72,1617.49,106.6,0.54,0.4,1.2,1.13,0.8,0.8,30
"2014-12-31",24.24,24.8,23.72,74.4,77.01,71.67,18.97,19.5,18.47,1006.04,1006.33,1005.77,1.45,169.04,4.94,1447.1,183.8,0.31,0.25,2,0.72,1,0.25,15
"2015-01-31",25.45,26,24.94,75.45,78.16,72.68,20.45,20.98,19.95,1007.28,1007.56,1006.99,1.39,178.42,4.61,1395.08,159.8,0.61,0.42,2,1.42,1,0.5,25
"2015-02-28",24.66,25.2,24.14,77.73,80.23,75.16,20.25,20.69,19.85,1007.07,1007.31,1006.82,1.47,148.63,4.91,1456.99,99.4,0.7,0.6,2,1.6,1,0.75,36
"2015-03-31",23.84,24.36,23.35,75.27,77.57,72.8,18.9,19.3,18.52,1008.72,1008.94,1008.51,1.5,151.27,4.82,1382.08,54,0.64,1.33,2,1.29,0.8,1.4,99
"2015-04-30",21.05,21.55,20.57,76.9,79.36,74.39,16.44,16.91,16.03,1010.94,1011.15,1010.71,1.2,155.05,3.92,1162.92,76,0.68,2.7,3.25,1.36,0,2,161
"2015-05-31",18.31,18.75,17.9,81.49,83.45,79.37,14.82,15.16,14.5,1012.57,1012.8,1012.33,1.18,150.49,3.89,850.8,142.4,0.38,2.3,3.4,0.88,0,1.8,171
"2015-06-30",15.5,15.96,15.05,82.18,84.29,80.06,12.2,12.58,11.86,1013.95,1014.23,1013.69,0.97,175.44,3.24,789.75,172.4,0.06,0.54,1,0.46,0,0.5,32
"2015-07-31",15.57,15.94,15.22,87.43,89.02,85.83,13.3,13.62,13.02,1012.59,1012.91,1012.28,1.06,162.84,3.79,631.78,313.4,0.44,0.32,1,0.93,0,0.5,19
"2015-08-31",20.32,20.83,19.82,74.27,76.85,71.69,15.05,15.49,14.64,1010.37,1010.66,1010.08,1.34,152.54,4.47,990.35,111.6,0.44,0.43,1,1.04,0,0.4,32
"2015-09-30",17.15,17.57,16.76,79.43,81.46,77.32,13.07,13.51,12.69,1008.88,1009.29,1008.47,1.43,158.41,4.93,996.04,186.6,0.47,0.24,1,1.02,0.25,0,14
"2015-10-31",18.52,18.95,18.14,82.67,84.65,80.54,15.3,15.69,14.95,1009.66,1010.06,1009.25,1.57,144.84,5.28,1023.3,312.6,0.58,0.3,1,1.31,0.25,0.5,18
"2015-11-30",20.75,21.21,20.34,78.78,81.01,76.57,16.65,17.09,16.29,1007.08,1007.37,1006.78,1.88,142.34,5.97,1224.88,124.8,0.67,0.65,1,1.66,0.6,0.6,48
"2015-12-31",23.62,24.12,23.14,79.55,81.89,77.07,19.58,20.02,19.17,1005.83,1006.13,1005.53,1.46,151.84,4.99,1275.44,100.2,0.55,1.34,2.75,1.11,0.75,1.5,80
"2016-01-31",25.68,26.26,25.13,72.72,75.38,69.92,19.85,20.36,19.34,1006.27,1006.51,1006.01,1.68,135.59,5.47,1533.51,113,0.69,2.89,3.6,1.41,1,2,215
"2016-02-29",26.21,26.76,25.64,74.37,77.05,71.54,20.93,21.43,20.43,1006.59,1006.84,1006.33,1.42,150.24,4.59,1704.39,58.6,0.77,8.25,4,1.79,0.75,2,491
"2016-03-31",22.68,23.14,22.23,80.51,82.79,78.17,18.83,19.24,18.46,1009.5,1009.74,1009.27,1.73,170.16,5.34,1264.3,308.8,0.8,10.43,4,1.14,1,2,621
"2016-04-30",22.28,22.71,21.91,82.75,84.7,80.66,18.94,19.29,18.65,1008.54,1008.82,1008.26,1.51,178.38,4.79,919.35,217.2,0.12,8.1,4,0.82,0.5,2,482
"2016-05-31",15.1,15.46,14.75,86.04,87.71,84.22,12.65,12.94,12.37,1014.29,1014.54,1014.05,1.18,176.77,3.89,766.02,73.2,0.02,2.22,2.8,0.49,0,1.6,165
"2016-06-30",11.73,12.14,11.34,82.74,84.55,80.78,8.64,8.95,8.34,1016.81,1017.04,1016.59,1.13,197.36,3.61,796.67,7.4,0.29,0.55,1,0.74,0,1,33
"2016-07-31",14.28,14.79,13.81,82.08,84.13,79.94,10.97,11.36,10.6,1012.85,1013.17,1012.56,1.41,186.17,4.43,841.55,152.2,0.49,0.63,1,1.01,0,1,47
"2016-08-31",16.26,16.8,15.75,80.05,82.37,77.57,12.42,12.88,12,1011.9,1012.19,1011.6,1.17,172.84,3.91,950.79,106,0.55,0.96,1,1.26,0,1,57
"2016-09-30",16.28,16.79,15.78,78.4,80.81,75.94,12.18,12.63,11.71,1012.99,1013.24,1012.73,1.67,169.11,5.31,1212.11,91.6,0.43,0.55,1,0.9,0,0.75,33
"2016-10-31",19.24,19.74,18.76,78.58,80.89,76.25,15.04,15.51,14.63,1009.16,1009.5,1008.84,1.86,142.5,5.85,1282.89,196.4,0.6,0.77,1,1.18,0.2,1,57
"2016-11-30",20.9,21.54,20.31,73.04,76.07,70,15.34,15.99,14.74,1008.25,1008.52,1007.97,1.53,159.52,4.92,1610.07,106.8,0.4,0.69,1,0.93,0.25,1,41
"2016-12-31",24.42,25.06,23.81,72.72,75.7,69.64,18.71,19.32,18.16,1005.66,1005.95,1005.39,1.57,158.86,5.09,1591.28,130.2,0.94,1.97,3.25,1.69,1,2,117
"2017-01-31",25.37,25.97,24.83,77.69,80.38,74.94,20.93,21.47,20.45,1006.48,1006.75,1006.2,1.56,160.81,5.08,1550.21,194.8,0.38,2.14,4,0.92,1,2,159
"2017-02-28",26.21,26.79,25.66,77.29,80.05,74.52,21.6,22.11,21.15,1005.8,1006.06,1005.54,1.27,163.21,4.29,1539.41,43,0.4,1.28,2.5,0.89,1,1.5,76
"2017-03-31",23.32,23.87,22.81,78.28,80.86,75.74,19.04,19.51,18.64,1009.23,1009.47,1008.97,1.54,150.95,4.87,1372.51,162.2,0.29,1.04,2.5,0.81,0.75,1.25,62
"2017-04-30",20.35,20.86,19.91,78.93,81.19,76.46,16.28,16.7,15.89,1010.8,1011.05,1010.53,1.45,154.18,4.65,1041.68,113,0.41,0.47,1.4,0.9,0.4,0.8,35
"2017-05-31",18.44,18.85,18.05,86.78,88.66,84.85,16.01,16.36,15.69,1011.27,1011.57,1010.98,1.28,152.86,4.26,748.71,179.8,0.42,0.44,1,1.07,0,0.5,26
"2017-06-30",16.14,16.62,15.7,84.48,86.46,82.4,13.25,13.61,12.91,1012.68,1012.93,1012.41,1.11,174.89,3.72,784.67,197,0.26,0.17,1,0.67,0,0,10
"2017-07-31",16.8,17.41,16.22,75.65,78.21,73.04,12,12.45,11.58,1017.59,1017.84,1017.37,1.03,161.08,3.25,1030.21,17,0.39,0.19,1,0.89,0,0,14
"2017-08-31",17.48,18.02,17,80.06,82.46,77.62,13.65,14.13,13.25,1012,1012.3,1011.67,1.27,156.29,4.05,1030.44,104.4,0.73,0.25,1,1.84,0,0.25,15
"2017-09-30",20.31,20.8,19.84,81.49,83.65,79.18,16.66,17.07,16.27,1012.09,1012.4,1011.81,1.39,141.97,4.62,1033.95,166.4,0.45,0.27,1,1,0,0.25,16
"2017-10-31",20.01,20.52,19.54,78.22,80.78,75.72,15.64,16.18,15.19,1007.35,1007.74,1006.95,1.67,162.28,5.42,1280.79,289.8,0.5,0.35,1.2,1.02,0.6,0.2,26
"2017-11-30",20.72,21.3,20.13,73.89,76.89,70.98,15.31,15.92,14.73,1006.88,1007.17,1006.61,1.87,154.14,5.53,1610.27,136,0.69,0.52,2,1.32,1,1,31
"2017-12-31",23.93,24.52,23.36,76.41,79.33,73.5,19.1,19.68,18.58,1005.57,1005.83,1005.33,1.96,134.82,5.57,1546.96,153.2,0.63,0.73,2,1.22,1,0.8,54
"2018-01-31",24.55,25.15,24,77.28,80.17,74.37,19.95,20.52,19.47,1005.96,1006.22,1005.7,1.85,157.95,5.6,1456.22,149.8,0.38,0.74,2,0.89,1,1,44
"2018-02-28",23.78,24.39,23.19,77.16,80.08,74.21,19.15,19.68,18.65,1007.57,1007.8,1007.34,1.77,141.77,5.23,1592.73,110.4,0.5,0.62,1.25,1.06,0.75,0.75,37
"2018-03-31",22.99,23.52,22.49,79.94,82.51,77.23,18.98,19.48,18.5,1006.58,1006.86,1006.32,1.45,151.93,4.5,1311.84,116.6,0.28,0.45,2,0.73,1,0.75,27
"2018-04-30",23.14,23.65,22.67,81.21,83.58,78.82,19.41,19.86,19.03,1011.02,1011.23,1010.8,1.21,165.01,3.71,1139.08,88.8,0.4,0.24,1.4,0.91,0.8,0.2,18
